Sigla da Cidade,Nome da Cidade,UF do Estado,Nome curto Empresa,Slug,Nome longo Empresa,Coordenadas,Input_Maximum,Input_Average,Input_Current,Output_Maximum,Output_Average,Output_Current,Extraction_Date
rj,Rio de Janeiro,RJ,,mundivox,,"310,272,310,356,340,356,340,272","3210,00","1770,00","1770,00","20690,00","10350,00","11260,00",2024-08-26
rj,Rio de Janeiro,RJ,,ufinet-jb,,"187,272,187,356,217,356,217,272",nan,nan,nan,nan,nan,nan,2024-08-26
rj,Rio de Janeiro,RJ,,equinix-rj2,,"816,272,816,356,846,356,846,272","1690000,00","950480,00","1480000,00","768160,00","487420,00","767080,00",2024-08-26
rj,Rio de Janeiro,RJ,,brdigital,,"437,272,437,356,467,356,467,272","30,00","0,00","0,00","0,00","0,00","0,00",2024-08-26
rj,Rio de Janeiro,RJ,,internexa,,"562,272,562,356,592,356,592,272","412300,00","236170,00","400220,00","391050,00","212790,00","352330,00",2024-08-26
rj,Rio de Janeiro,RJ,,linkfull,,"688,272,688,356,718,356,718,272","13790,00","7650,00","11570,00","42650,00","28080,00","39910,00",2024-08-26
rj,Rio de Janeiro,RJ,,cirion,,"310,166,310,81,340,81,340,166","41140,00","15440,00","28610,00","56370,00","39700,00","47010,00",2024-08-26
rj,Rio de Janeiro,RJ,,claro,,"183,166,183,81,213,81,213,166","62010,00","36880,00","57550,00","222700,00","138340,00","211030,00",2024-08-26
rj,Rio de Janeiro,RJ,,eletronet,,"437,166,437,81,467,81,467,166","31240,00","18150,00","26990,00","55060,00","35330,00","54970,00",2024-08-26
rj,Rio de Janeiro,RJ,,durand,,"562,166,562,81,592,81,592,166","111580,00","63460,00","101290,00","523280,00","295680,00","494480,00",2024-08-26
rj,Rio de Janeiro,RJ,,elea,,"688,166,688,81,718,81,718,166","150,00","30,00","10,00","21890,00","10390,00","21400,00",2024-08-26
rj,Rio de Janeiro,RJ,,ufinet-sc,,"816,166,816,81,846,81,846,166","89030,00","67190,00","87740,00","395150,00","242750,00","380470,00",2024-08-26
ba,Salvador,BA,Pix BR.Digital,brdigital,Pix BR.Digital,"115,132,210,226,204,233,242,233,146,139,154,132","30,00","0,00","0,00","0,00","0,00","0,00",2024-08-26
ba,Salvador,BA,Pix Tascom,tascom,Pix Tascom,"368,132,274,226,280,232,244,233,337,139,330,132","22950,00","19530,00","21240,00","21710,00","12900,00","20940,00",2024-08-26
ba,Salvador,BA,Pix Telxius,telxius,Pix Telxius,"117,378,212,284,204,278,242,278,148,372,154,378","58480,00","33220,00","51860,00","23220,00","16520,00","21210,00",2024-08-26
ria,Santa Maria,RS,,avato,,"74,84,94,67,94,75,317,76,317,86,300,102,299,93,74,94","999,01","598,90","951,86","216,09","63,89","83,54",2024-08-26
sjc,São José dos Campos,SP,,nipcable_internexo,,"74,84,94,67,94,75,317,76,317,86,300,102,299,93,74,94","310,00","20,00","80,00","40,00","10,00","10,00",2024-08-26
slz,São Luis,MA,,wikitelecom,,"74,84,94,67,94,75,317,76,317,86,300,102,299,93,74,94","18380,00","5610,00","17140,00","1080,00","416,71","893,13",2024-08-26
